title,source,url,published_at,summary,image_url,country,topic,political_bias
Mediacorp appoints Virginia Lim as chief content and talent officer as Doreen Neo retires,Channel NewsAsia,https://www.channelnewsasia.com/singapore/mediacorp-doreen-neo-retires-virginia-lim-5922826,2026-02-12,"Mediacorp will have a new chief content and talent officer from April, as chief talent officer Doreen Neo retires.Ms Virginia Lim, 55, who currently leads Mediacorp’s content group, will assume leadership of its Talent Hub after Ms Neo’s retirement, said the company in a press release on Wednesday..","https://dam.mediacorp.sg/image/upload/s--DRDoG5PL--/c_crop,h_759,w_1350,x_0,y_9/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/11/2-panel-composite.png?itok=9tX8vmug",Singapore,Entertainment,center
DSTA widens defence technology search to new markets amid supply chain concerns,Channel NewsAsia,https://www.channelnewsasia.com/singapore/defence-technology-dsta-diversify-sources-new-markets-supply-chain-5922136,2026-02-12,"The Defence Science and Technology Agency (DSTA) is stepping up efforts to diversify its sources of defence technology, expanding beyond its traditional partners in the West to markets such as Japan, South Korea, the Nordics and parts of Eastern Europe.The move comes as geopolitical uncertainties...","https://dam.mediacorp.sg/image/upload/s--wUaEk8nC--/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2025/03/03/unmanned_aerial_vehicle_drone.jpg?itok=xxqqlmbT",Singapore,Business,right
Fires involving active mobility devices down 26.9% in 2025; total number of fires up slightly: SCDF,Channel NewsAsia,https://www.channelnewsasia.com/singapore/scdf-statistics-2025-fires-active-mobility-devices-down-5919611,2026-02-12,"The number of fires involving active mobility devices (AMDs) fell by 26.9 per cent in 2025, according to annual statistics released by the Singapore Civil Defence Force (SCDF) on Wednesday (Feb 11).Last year saw 49 such fires, down from67 in 2024.The overall number of fires rose 3 per cent to 2,050.","https://dam.mediacorp.sg/image/upload/s--bjfWni7f--/c_crop,h_675,w_1200,x_0,y_909/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/519619423_1166176752223325_1028483834269180441_n.jpg?itok=JWYXIdoJ",Singapore,Health,center
Malaysians repeatedly entered Singapore to withdraw a total of S$1 million in scam proceeds for syndicate,Channel NewsAsia,https://www.channelnewsasia.com/singapore/malaysians-enter-singapore-withdraw-1-million-scam-proceeds-5922751,2026-02-12,"Two Malaysian men who needed money were added to Telegram chat groups where they received instructions to withdraw cash from ATMs in Singapore.Between them, they withdrew about S$1 million (US$792,000) by following a duty roster.The large sum of money belonged to victims of government official...","https://dam.mediacorp.sg/image/upload/s--F7JVLjVg--/c_crop,h_576,w_1024,x_0,y_0/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2023-11:afp_watermark_14112023,w_0.1/f_auto,q_auto/v1/mediacorp/tdy/image/2024/09/05/20240905_afp_atm_singapore_dollars.jpg?itok=Gimr1JO6",Singapore,Crime,center
"Man smeared luncheon meat along HDB common corridor in dispute over 'noisy' kids, gets jail",Channel NewsAsia,https://www.channelnewsasia.com/singapore/man-smear-luncheon-meat-dispute-neighbour-5922231,2026-02-12,"A man who was unhappy at the sound of his neighbour's children playing along the common corridornear his flat was especially aggrieved when they did so again on Deepavali.Knowing that his neighbours were Malay-Muslim, he smeared pork luncheon meat across the common corridor, wanting the kids to...","https://dam.mediacorp.sg/image/upload/s--_gSxmdu9--/c_crop,h_900,w_1600,x_0,y_27/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2021-08:cna,w_0.1/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/11/1000160440.jpg?itok=vjq-7C2K",Singapore,General,center
Commentary: ChatGPT is a dangerous study aid for STEM students,Channel NewsAsia,https://www.channelnewsasia.com/commentary/science-maths-chatgpt-chemistry-physics-questions-exam-5920031,2026-02-12,"During last year’s exam season, a student showed me her answer to the 2024 GCE A-Level Chemistry Paper 3 question. The task was straightforward: Draw three curly arrows to complete a reaction mechanism.ChatGPT provided a diagram with clean lines, proper notation, and technical precision....","https://dam.mediacorp.sg/image/upload/s--sbyeo0DI--/c_crop,h_705,w_1254,x_0,y_19/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2025/07/16/istock-2173489722.jpg?itok=vdGh1R_L",Singapore,General,center
Singer-songwriter Shazza wins Mediacorp’s acting competition Berani Lakon!,Channel NewsAsia,https://www.channelnewsasia.com/entertainment/shazza-mediacorp-berani-lakon-acting-competition-5922846,2026-02-12,"Singaporean musician Shazza has just added yet another role to her resume–acting.The 25-year-old singer-songwriter recently emerged as the winner of the reality competition show Berani Lakon!, which featured contestants with no acting background showcasing their acting chops.As the show's champion,.","https://dam.mediacorp.sg/image/upload/s--BW7qPiYM--/c_crop,h_900,w_1600,x_0,y_42/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/11/shazza_winner_announcement_3.jpg?itok=FzhVbnEV",Singapore,General,right
Disney Cruise Line-themed Wonderfall show lights up Changi T2 ahead of March cruise launch,Channel NewsAsia,https://www.channelnewsasia.com/travel/disney-cruise-wonderfall-show-changi-airport-t2-5922396,2026-02-12,"Visitors to Changi Airport can now catch a new Disney-themed mini-show at the popular Wonderfall digital display section at Terminal 2.The new Wonderfall show is presented like pop-up storybook coming to life, with scenes inspired by the Disney Adventure cruise ship’s seven themed areas: Disney...","https://dam.mediacorp.sg/image/upload/s--ruBIO8k7--/c_crop,h_607,w_1080,x_0,y_352/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/11/castle.png?itok=Jp2w-gXZ",Singapore,Entertainment,center
Jeanette Aw only had 3 hours to learn lion dance before performing at a nursing home,Channel NewsAsia,https://www.channelnewsasia.com/entertainment/local-actress-jeanette-aw-lion-dance-5922381,2026-02-12,"With Chinese New Year just around the corner, Singaporean actress Jeanette Aw, 46, picked up a new skill to put to meaningful use this festive season.The skill in question? Lion dance....","https://dam.mediacorp.sg/image/upload/s--u7OYIR1Q--/c_crop,h_1072,w_1905,x_1,y_0/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/11/screenshot_2026-02-11_at_12.58.29_pm.png?itok=X9SbM_Vu",Singapore,Entertainment,center
"Shell Select revamp adds Watsons Lite, Hooga and Vivino lifestyle offerings",Channel NewsAsia,https://www.channelnewsasia.com/living/shell-select-singapore-watsons-hooga-vivino-5922266,2026-02-12,"Shell has introduced a refreshed Shell Select concept at its outlets across Singapore. Launched on Wednesday (Feb 11), the updated concept features new collaborations with Watsons, lifestyle brand Hooga, and Danish wine retailer Vivino.It is currently available at 12 Shell service stations...","https://dam.mediacorp.sg/image/upload/s--iWqBexUZ--/c_crop,h_900,w_1600,x_0,y_41/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/11/shell_watsons.jpg?itok=wncF96ci",Singapore,Entertainment,center
Man convicted of raping intoxicated work acquaintance; judge rejects defence of consent,Channel NewsAsia,https://www.channelnewsasia.com/singapore/man-convicted-rape-work-acquaintance-jasper-lee-5922306,2026-02-12,"A 37-year-old man was convicted on Tuesday (Feb 10) ofraping an inebriated work acquaintanceafter a dinner celebrating their shared birthday.The judge ""entirely"" rejected Jasper Lee Loong Kuan's defence that the woman had consented, finding that she was too drunk to give consent and in any event...","https://dam.mediacorp.sg/image/upload/s--gXuVFRpk--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2023-04-26t042121z_1_lynxmpej3p04a_rtroptp_3_singapore-dailylife.jpg?itok=Cm-x8ZmA",Singapore,General,center
"Police warn of phishing scams impersonating LTA, targeting Singaporean travellers to Malaysia",Channel NewsAsia,https://www.channelnewsasia.com/singapore/police-warn-scams-impersonating-lta-malaysia-travellers-5920221,2026-02-12,"Members of the public are advised to be wary of phishing scams that involve SMSes impersonating the Land Transport Authority (LTA) and sent to Singaporean travellers to Malaysia, the police said on Tuesday (Feb 10).In this scam variant, victims would receive an SMS allegedly from LTA regarding...","https://dam.mediacorp.sg/image/upload/s--ieg1wQpr--/c_crop,h_720,w_1280,x_0,y_117/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/6078146501243768007.jpg?itok=R7-x1T8c",Singapore,Crime,right
Maid jailed for repeatedly using baby's arm to strike the infant's face,Channel NewsAsia,https://www.channelnewsasia.com/singapore/maid-used-baby-arm-punch-face-jail-5919861,2026-02-12,"A foreign domestic worker was sentenced to six months' jail on Tuesday (Feb 10) for using a four-month-old baby's arm to punch the child's face multiple times.The defence lawyer for Indonesian national Indah Komala Sari, 29, said the woman had been exhausted from poor rest the night before as the...","https://dam.mediacorp.sg/image/upload/s--anfD7pU2--/c_crop,h_900,w_1600,x_0,y_62/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/istock-1355951601.jpg?itok=IJ_rjzBV",Singapore,Health,center
"More European, North Asian MNCs eyeing Singapore as manufacturing base: Industry body",Channel NewsAsia,https://www.channelnewsasia.com/singapore/manufacturing-base-multinationals-europe-north-asia-smf-5919821,2026-02-12,"More multinational companies (MNCs) from Europe and North Asia are looking to set up bases in Singapore, amid efforts to expand their footprint across Southeast Asia.According to the Singapore Manufacturing Federation (SMF), many of these firms are working with local companies to support their...","https://dam.mediacorp.sg/image/upload/s--9TvFeN0D--/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/screenshot_2026-02-10_153058.png?itok=SXueJjdu",Singapore,General,right
"After 6 years, young hawker to close S$1.20 min jiang kueh stall in Geylang East",Channel NewsAsia,https://www.channelnewsasia.com/dining/evas-pancake-closes-stall-after-6-years-5919441,2026-02-12,"We are often taught to measure work by how long we can endure it. Leaving, especially when something is still standing, is often mistaken for giving up. For the millennial behind Eva’s Pancake, closing her S$1.20 min jiang kueh (peanut pancake) hawker stall on Feb 16 after six years marks a...","https://dam.mediacorp.sg/image/upload/s--d_KtQC2x--/c_crop,h_586,w_1041,x_1,y_250/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/screenshot_2026-02-10_at_11.07.12_am.png?itok=AU9V9BYe",Singapore,General,center
"Singapore retains third-place ranking in global corruption index, tops Asia Pacific again",Channel NewsAsia,https://www.channelnewsasia.com/singapore/singapore-third-least-corrupt-globally-2025-transparency-index-top-asia-pacific-cpib-5919771,2026-02-12,"Singapore was ranked the world’s third least corrupt country for the second consecutive year in 2025, according to anti-corruption body Transparency International's Corruption Perceptions Index (TI-CPI).The country also topped the Asia Pacific region in the index for thesecond time in a row-...","https://dam.mediacorp.sg/image/upload/s--CniHvysS--/c_crop,h_2812,w_5000,x_0,y_0/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/2026-02-03t121527z_1276442685_rc2bqeazt1st_rtrmadp_3_hongkong-land-fund-singapore.jpg?itok=cFDdk7Wf",Singapore,General,right
Motorcyclist on trial for biting off part of man's ear in scuffle on PIE shoulder,Channel NewsAsia,https://www.channelnewsasia.com/singapore/motorcyclist-trial-bite-mans-ear-5919751,2026-02-12,"A motorcyclist went on trial on Tuesday (Feb 10) for biting off part of a man's ear and causing hurt to the man's father during an incidentbeside the Pan-Island Expressway (PIE) in February 2024.Ronald Koh, a 36-year-old Singaporean, conducted his own cross-examination of the victim's father and...","https://dam.mediacorp.sg/image/upload/s--tViY83Eb--/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/tdy/image/2023/07/10/20221129_nlx_state_courts_generics-1_2.jpg?itok=QI5iEZKp",Singapore,General,center
"K-burgers are here: What to expect at Lotteria Singapore, opening Feb 11 at Jewel Changi Airport",Channel NewsAsia,https://www.channelnewsasia.com/dining/lotteria-singapore-menu-jewel-changi-airport-5917626,2026-02-12,"K-pop, K-dramas and now, K-burgers in your neighbourhood: Lotteria’s doors are about to open for the first time in Singapore.The well-known fast food chain with over 1,300 outlets in South Korea will debut its signature menu at Jewel Changi Airport on Wednesday (Feb 11) in a 60-seat dining space...","https://dam.mediacorp.sg/image/upload/s--6InnKfoX--/c_crop,h_898,w_1596,x_0,y_47/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2021-08:cna,w_0.1/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/img_4850.jpg?itok=bIII5eTW",Singapore,Entertainment,right
"Man posed as teen online and raped 13-year-old girl, gets jail and caning",Channel NewsAsia,https://www.channelnewsasia.com/singapore/man-posed-teen-online-raped-girl-jail-caning-5919651,2026-02-12,"A man who posed as a teenager online to talk to underage girls was sentenced to 11 years' jail and 10 strokes of the cane on Tuesday (Feb 10).The Singaporean, now aged 25, who cannot be named due to gag orders protecting the identity of two victims, pleaded guilty to two counts of statutory rape,...","https://dam.mediacorp.sg/image/upload/s--u5q_Cfpy--/c_crop,h_900,w_1600,x_0,y_135/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2021-08:cna,w_0.1/f_auto,q_auto/v1/mediacorp/cna/image/2024/03/12/jem_0088.jpg?itok=eOleY7XF",Singapore,Crime,center
NParks looking into allegations that man cut community cat's fur and whiskers in Everton Park,Channel NewsAsia,https://www.channelnewsasia.com/singapore/man-cut-black-cat-fur-whiskers-everton-park-timmy-nparks-5919491,2026-02-12,"The National Parks Board (NParks) is looking into allegations that a man held down a black community cat and cut its fur and whiskers with a pair of scissors.Closed-circuit television footage was posted on Instagram by user @timmytheblackcat_ on Sunday (Feb 8), a day after the incident.The video...","https://dam.mediacorp.sg/image/upload/s--GWBeUV6y--/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/timmy_the_cat_cut_hair_whiskers.png?itok=VRS0JY5X",Singapore,General,center
Not your usual Hello Kitty: Exclusive Black Series collection lands in Singapore,Channel NewsAsia,https://www.channelnewsasia.com/living/hello-kitty-black-series-singapore-5919496,2026-02-12,"Ever wanted a Hello Kitty figure that swaps kawaii for edgy? Here's your chance, as the exclusive Hello Kitty Black Series collection will finally land in Singapore on Wednesday (Feb 11).A collaboration between Japanese underground lifestyle label One Today and Sanrio, the Hello Kitty Black Series..","https://dam.mediacorp.sg/image/upload/s--cpdfBZ4M--/c_crop,h_900,w_1600,x_0,y_103/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/hello_kitty_black_one_today.jpg?itok=8pVUI33p",Singapore,Entertainment,center
"Circle Line tunnel works nearly 50% completed, on track for April finish",Channel NewsAsia,https://www.channelnewsasia.com/singapore/circle-line-ccl-disruption-tunnel-works-5919171,2026-02-12,"Tunnel strengthening works on the Circle Line (CCL) have reached the halfway mark, with the Land Transport Authority (LTA) confirming on Tuesday (Feb 10) that the project remains on schedule for completion by April.Thescheduled service disruption, which began on Jan 17 and runs until Apr 19, has...","https://dam.mediacorp.sg/image/upload/s--H44FLDB2--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2021-08:cna,w_0.1/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/1000174884.jpg?itok=AExLgNUo",Singapore,General,right
"Rise in young drug abusers arrested in 2025, including a 12-year-old: CNB",Channel NewsAsia,https://www.channelnewsasia.com/singapore/cnb-drugs-2025-overview-report-more-young-drug-abusers-arrest-5919386,2026-02-12,"More young drug abusers were arrested in 2025, the Central Narcotics Bureau (CNB) said on Tuesday (Feb 10), with one in two new drug abusers arrested under the age of 30.In its annual statistics report, CNB director Sebastian Tan said the youth drug problem remains a concern, highlighting that the..","https://dam.mediacorp.sg/image/upload/s--noVAgpC3--/c_crop,h_900,w_1600,x_0,y_166/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2024/02/14/iStock-1300093589 (1).jpg?itok=lJgtroiy",Singapore,Business,center
"Korea Travel Fair 2026 brings Ji Chang-wook, f(x)'s Luna, Culinary Class Wars' Jung Ho-young to Singapore",Channel NewsAsia,https://www.channelnewsasia.com/travel/korea-travel-fair-2026-ji-chang-wook-fx-luna-culinary-class-wars-5919226,2026-02-12,"If you're a fan of all things South Korea–be it K-dramas, K-food or K-beauty–be sure to mark your calendars for Mar 6 to 8 as Korea Travel Fair returns for a new edition. Held at Plaza Singapura, the fair will have immersive experiences, exclusive travel deals and hands-on cultural activities....","https://dam.mediacorp.sg/image/upload/s--6As9ag91--/c_crop,h_900,w_1600,x_0,y_53/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/korea_travel_fair_2026_singapore.jpg?itok=PLbiM_e1",Singapore,Entertainment,right
Chinatown accident: Mother regains consciousness; Indonesian Embassy offers to coordinate legal help if needed,Channel NewsAsia,https://www.channelnewsasia.com/singapore/chinatown-car-accident-indonesian-embassy-6-year-old-girl-died-5919296,2026-02-12,"The mother who was hit by a car in therecent Chinatown car accidenthas regained consciousness and is in stable condition in intensive care, said the Indonesian Embassy in Singapore on Tuesday (Feb 10).In response to queries from CNA, the embassy said that the woman remains under intensive medical...","https://dam.mediacorp.sg/image/upload/s--_46M-K0_--/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/02/10/image_1.png?itok=fTIG_jk4",Singapore,Crime,right
Singapore upgrades 2026 GDP growth forecast to 2%-4%; economy expanded by 5% in 2025,Channel NewsAsia,https://www.channelnewsasia.com/singapore/gdp-2026-growth-forecast-upgrade-manufacturing-tariffs-5918991,2026-02-12,"Singapore upgraded its economic growth forecast for 2026, citing stronger-than-expected global momentum, driven in large part by an ongoing boom in artificial intelligence (AI) investments.The economy is now expected to grow by 2 per cent to 4 per cent this year, up from the previous forecast of 1..","https://dam.mediacorp.sg/image/upload/s--4rDAHilf--/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2024/06/20/office workers CBD singapore 4.jpg?itok=6Jrxq9-S",Singapore,General,right
"CNA Explains: What are Roblox and Gorebox, and how might they be used for radicalisation?",Channel NewsAsia,https://www.channelnewsasia.com/singapore/roblox-gorebox-online-gaming-platforms-self-radicalisation-isd-5890921,2026-02-12,"A 14-year-old boy used Roblox and Gorebox to recreate terror attacks and executions, roleplaying as an ISIS fighter killing “disbelievers”.The Internal Security Department on Wednesday (Jan 28) said the teenager wasissued a restriction orderunder the Internal Security Act for...","https://dam.mediacorp.sg/image/upload/s--bSOVTf9z--/c_crop,h_537,w_954,x_259,y_1/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/01/28/roblox_gorebox_isd_5.jpg?itok=7DRRLjiw",Singapore,Crime,right
CNA Explains: What is 'tunnel squatting' and how does it affect MRT operations?,Channel NewsAsia,https://www.channelnewsasia.com/singapore/circle-line-tunnel-squatting-train-operations-cna-explains-5522091,2026-02-12,"Sections of Circle Line tunnels serving Mountbatten, Dakota and Paya Lebar stations will bepartially closed for nearly three monthsin early 2026 for strengthening works, following a phenomenon known as ""tunnel squatting"".In a nutshell, this means longer waits of up to 30 minutes for commuters...","https://dam.mediacorp.sg/image/upload/s--rcaF7OwT--/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2025/12/02/istock-1757190054.jpg?itok=pvduua5v",Singapore,General,right
CNA Explains: What Singapore's national wage guidelines are for,Channel NewsAsia,https://www.channelnewsasia.com/singapore/national-wages-council-salary-guideline-pay-increment-bonus-workers-5466976,2026-02-12,"Every year, the National Wages Council (NWC)releases salary recommendationsfor workers in Singapore.These provide guidance on pay increments, bonuses and one-off payments that affect all employees here, including white-collar professionals.But they are not binding on employers– so can they still...","https://dam.mediacorp.sg/image/upload/s--QVofQrqv--/c_crop,h_575,w_1022,x_1,y_107/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2023-11:afp_watermark_14112023,w_0.1/f_auto,q_auto/v1/mediacorp/cna/image/2025/11/14/singapore_office_workers_raffles_place_financial_district_cbd.jpg?itok=yMskLzav",Singapore,General,right
